	Tags	SeqName	#Hits	Description	Length	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED]	contig_1_RagTag_1	5	ogr/Delta-like zinc finger family protein	93	1.33E-11	85.48						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_2	20	L,D-transpeptidase	921	5.33E-213	99.2	10	P:GO:0006508; P:GO:0008360; P:GO:0018104; P:GO:0043164; P:GO:0071555; F:GO:0016755; F:GO:0016757; F:GO:0016807; F:GO:0071972; C:GO:0042597	P:proteolysis; P:regulation of cell shape; P:peptidoglycan-protein cross-linking; P:Gram-negative-bacterium-type cell wall biogenesis; P:cell wall organization; F:aminoacyltransferase activity; F:glycosyltransferase activity; F:cysteine-type carboxypeptidase activity; F:peptidoglycan L,D-transpeptidase activity; C:periplasmic space	EC:3.4.16; EC:3.4.18.1; EC:3.4.16.2; EC:3.4.18; EC:3.4.16.6; EC:3.4.16.5; EC:3.4.17.11; EC:2.3; EC:3.4; EC:2.4; EC:2; EC:3; EC:2.3.2	Acting on peptide bonds (peptidases); cathepsin X; lysosomal Pro-Xaa carboxypeptidase; Acting on peptide bonds (peptidases); carboxypeptidase D; carboxypeptidase C; glutamate carboxypeptidase; Acyltransferases; Acting on peptide bonds (peptidases); Glycosyltransferases; Transferases; Hydrolases; Acyltransferases	G3DSA:2.40.440.10:FF:000001 (FUNFAM); IPR038063 (G3DSA:2.40.440.GENE3D); IPR005490 (PFAM); IPR041597 (PFAM); IPR050979 (PANTHER); IPR005490 (PROSITE_PROFILES); IPR005490 (CDD); IPR038063 (SUPERFAMILY)	P:GO:0018104; F:GO:0016740; F:GO:0071972; C:GO:0005576	P:peptidoglycan-protein cross-linking; F:transferase activity; F:peptidoglycan L,D-transpeptidase activity; C:extracellular region
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_3	20	MULTISPECIES: helix-turn-helix domain-containing protein	876	6.23E-209	99.42	3	P:GO:0006355; F:GO:0003700; F:GO:0043565	P:regulation of DNA-templated transcription; F:DNA-binding transcription factor activity; F:sequence-specific DNA binding			G3DSA:1.10.10.60 (GENE3D); IPR029442 (PFAM); IPR011256 (G3DSA:3.20.80.GENE3D); IPR018060 (PFAM); G3DSA:1.10.10.60 (GENE3D); IPR050959 (PANTHER); IPR018060 (PROSITE_PROFILES); IPR009057 (SUPERFAMILY); IPR011256 (SUPERFAMILY); IPR009057 (SUPERFAMILY)	P:GO:0006355; F:GO:0003677; F:GO:0003700; F:GO:0043565	P:regulation of DNA-templated transcription; F:DNA binding; F:DNA-binding transcription factor activity; F:sequence-specific DNA binding
true	[INTERPRO, BLASTED]	contig_1_RagTag_4	20	MULTISPECIES: hypothetical protein	378	8.8E-82	99.48						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_5	20	MULTISPECIES: helix-turn-helix transcriptional regulator	822	5.71E-196	99.73	3	P:GO:0006355; F:GO:0003700; F:GO:0043565	P:regulation of DNA-templated transcription; F:DNA-binding transcription factor activity; F:sequence-specific DNA binding			G3DSA:1.10.10.60:FF:000132 (FUNFAM); IPR018060 (PFAM); IPR003313 (PFAM); IPR014710 (G3DSA:2.60.120.GENE3D); G3DSA:1.10.10.60 (GENE3D); PTHR11019 (PANTHER); IPR018060 (PROSITE_PROFILES); cd06124 (CDD); IPR009057 (SUPERFAMILY); IPR011051 (SUPERFAMILY)	P:GO:0006355; F:GO:0003700; F:GO:0043565	P:regulation of DNA-templated transcription; F:DNA-binding transcription factor activity; F:sequence-specific DNA binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_6	20	MULTISPECIES: porin	1137	5.76E-292	99.88	3	P:GO:0055085; F:GO:0015288; C:GO:0009279	P:transmembrane transport; F:porin activity; C:cell outer membrane			IPR023614 (G3DSA:2.40.160.GENE3D); IPR033900 (PFAM); IPR050298 (PANTHER); IPR033900 (CDD); SSF56935 (SUPERFAMILY)	F:GO:0015288; C:GO:0016020	F:porin activity; C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_7	20	3-hydroxybutyrate dehydrogenase	771	1.05E-178	99.51	3	P:GO:0006629; P:GO:0032787; F:GO:0003858	P:lipid metabolic process; P:monocarboxylic acid metabolic process; F:3-hydroxybutyrate dehydrogenase activity	EC:1.1; EC:1.1.1.30; EC:1; EC:1.1.1	Acting on the CH-OH group of donors; 3-hydroxybutyrate dehydrogenase; Oxidoreductases; Acting on the CH-OH group of donors	IPR002347 (PRINTS); IPR002347 (PRINTS); G3DSA:3.40.50.720:FF:000084 (FUNFAM); NF009093 (NCBIFAM); G3DSA:3.40.50.720 (GENE3D); IPR011294 (NCBIFAM); IPR002347 (PFAM); PIRSR614007-1 (PIRSR); PIRSR611284-1 (PIRSR); PIRSR617711-2 (PIRSR); PIRSR614007-2 (PIRSR); PIRSR000094-3 (PIRSR); PIRSR617711-1 (PIRSR); PIRSR000095-1 (PIRSR); PIRSR611284-2 (PIRSR); PIRSR614058-1 (PIRSR); IPR050259 (PANTHER); IPR036291 (SUPERFAMILY)	F:GO:0003858	F:3-hydroxybutyrate dehydrogenase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_8	20	MULTISPECIES: GntP family permease	1392	2.2E-314	99.72	3	P:GO:0035429; F:GO:0015128; C:GO:0005886	P:gluconate transmembrane transport; F:gluconate transmembrane transporter activity; C:plasma membrane			IPR003474 (PANTHER)	P:GO:0035429; F:GO:0015128; C:GO:0005886; C:GO:0016020	P:gluconate transmembrane transport; F:gluconate transmembrane transporter activity; C:plasma membrane; C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_9	20	3-hydroxyacyl-CoA dehydrogenase family protein	924	4.23E-215	99.38	6	P:GO:0006631; P:GO:0009056; F:GO:0008691; F:GO:0050104; F:GO:0070403; C:GO:0005737	P:fatty acid metabolic process; P:catabolic process; F:3-hydroxybutyryl-CoA dehydrogenase activity; F:L-gulonate 3-dehydrogenase activity; F:NAD+ binding; C:cytoplasm	EC:1.1; EC:1; EC:1.1.1.45; EC:1.1.1.157; EC:1.1.1	Acting on the CH-OH group of donors; Oxidoreductases; L-gulonate 3-dehydrogenase; 3-hydroxybutyryl-CoA dehydrogenase; Acting on the CH-OH group of donors	IPR022694 (PIRSF); IPR006176 (PFAM); IPR013328 (G3DSA:1.10.1040.GENE3D); G3DSA:3.40.50.720 (GENE3D); IPR006108 (PFAM); PIRSR612803-2 (PIRSR); PIRSR000105-1 (PIRSR); PIRSR612803-1 (PIRSR); PTHR48075 (PANTHER); IPR008927 (SUPERFAMILY); IPR036291 (SUPERFAMILY)	P:GO:0006631; F:GO:0016491; F:GO:0016616; F:GO:0050104; F:GO:0070403	P:fatty acid metabolic process; F:oxidoreductase activity; F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; F:L-gulonate 3-dehydrogenase activity; F:NAD+ binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_10	20	acetyl-CoA C-acetyltransferase	1185	2.1E-268	99.44	2	F:GO:0003985; C:GO:0005737	F:acetyl-CoA C-acetyltransferase activity; C:cytoplasm	EC:2.3; EC:2; EC:2.3.1.16; EC:2.3.1.9; EC:2.3.1	Acyltransferases; Transferases; acetyl-CoA C-acyltransferase; acetyl-CoA C-acetyltransferase; Acyltransferases	no IPS match	no IPS match	no IPS match
