	Tags	SeqName	#Hits	Description	Length	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_1	20	TonB-dependent siderophore receptor	2490	0.0	95.59	5	P:GO:0033214; P:GO:0044718; F:GO:0015344; F:GO:0038023; C:GO:0009279	P:siderophore-iron import into cell; P:siderophore transmembrane transport; F:siderophore uptake transmembrane transporter activity; F:signaling receptor activity; C:cell outer membrane			G3DSA:2.170.130.10:FF:000001 (FUNFAM); G3DSA:2.40.170.20:FF:000005 (FUNFAM); IPR012910 (PFAM); IPR000531 (PFAM); IPR037066 (G3DSA:2.170.130.GENE3D); IPR011662 (PFAM); IPR036942 (G3DSA:2.40.170.GENE3D); G3DSA:3.55.50.30 (GENE3D); IPR010105 (NCBIFAM); IPR039426 (PANTHER); IPR039426 (PROSITE_PROFILES); cd01347 (CDD); SSF56935 (SUPERFAMILY)	P:GO:0015891; F:GO:0015343; F:GO:0015344; F:GO:0038023; C:GO:0009279; C:GO:0019867	P:siderophore transport; F:siderophore-iron transmembrane transporter activity; F:siderophore uptake transmembrane transporter activity; F:signaling receptor activity; C:cell outer membrane; C:outer membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_2	20	FecR family protein	969	3.97E-225	86.33	2	P:GO:0045892; F:GO:0016989	P:negative regulation of DNA-templated transcription; F:sigma factor antagonist activity			IPR012373 (PIRSF); G3DSA:2.60.120.1440 (GENE3D); IPR032623 (PFAM); IPR006860 (PFAM); IPR012373 (PANTHER)	F:GO:0016989	F:sigma factor antagonist activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_3	20	sigma-70 family RNA polymerase sigma factor	504	1.42E-114	94.3	3	P:GO:2000142; F:GO:0003677; F:GO:0016987	P:regulation of DNA-templated transcription initiation; F:DNA binding; F:sigma factor activity			G3DSA:1.10.1740.10:FF:000009 (FUNFAM); G3DSA:1.10.1740.10 (GENE3D); IPR013249 (PFAM); IPR014284 (NCBIFAM); IPR007627 (PFAM); NF009180 (NCBIFAM); IPR036388 (G3DSA:1.10.10.GENE3D); IPR039425 (PANTHER); IPR013324 (SUPERFAMILY); IPR013325 (SUPERFAMILY)	P:GO:0006352; P:GO:0006355; F:GO:0003677; F:GO:0003700; F:GO:0016987	P:DNA-templated transcription initiation; P:regulation of DNA-templated transcription; F:DNA binding; F:DNA-binding transcription factor activity; F:sigma factor activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_4	20	GntR family transcriptional regulator	696	1.22E-151	94.58	3	P:GO:0006355; F:GO:0003677; F:GO:0003700	P:regulation of DNA-templated transcription; F:DNA binding; F:DNA-binding transcription factor activity			IPR000524 (PRINTS); IPR000524 (PFAM); IPR008920 (G3DSA:1.20.120.GENE3D); IPR036388 (G3DSA:1.10.10.GENE3D); IPR011711 (PFAM); PTHR43537 (PANTHER); IPR000524 (PROSITE_PROFILES); IPR000524 (CDD); IPR008920 (SUPERFAMILY); IPR036390 (SUPERFAMILY)	P:GO:0006355; F:GO:0003700	P:regulation of DNA-templated transcription; F:DNA-binding transcription factor activity
true	[INTERPRO, BLASTED]	contig_1_RagTag_5	20	transglutaminase-like cysteine peptidase	756	1.1E-178	92.43						IPR010319 (PFAM); NF045674 (NCBIFAM); G3DSA:3.10.620.30 (GENE3D); IPR010319 (PANTHER); IPR038765 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_6	20	EAL domain-containing protein	1947	0.0	95.36	3	P:GO:0007165; F:GO:0071111; C:GO:0016020	P:signal transduction; F:cyclic-guanylate-specific phosphodiesterase activity; C:membrane	EC:3.1.4; EC:3.1; EC:3; EC:3.1.4.52	Acting on ester bonds; Acting on ester bonds; Hydrolases; cyclic-guanylate-specific phosphodiesterase	IPR042461 (G3DSA:6.20.270.GENE3D); G3DSA:3.30.110.200 (GENE3D); IPR032244 (PFAM); IPR043128 (G3DSA:3.30.70.GENE3D); IPR000160 (PFAM); IPR001633 (PFAM); NF045673 (NCBIFAM); IPR035919 (G3DSA:3.20.20.GENE3D); IPR003660 (PFAM); IPR000160 (NCBIFAM); IPR050706 (PANTHER); IPR001633 (PROSITE_PROFILES); IPR000160 (PROSITE_PROFILES); IPR003660 (PROSITE_PROFILES); IPR000160 (CDD); IPR001633 (CDD); IPR029787 (SUPERFAMILY); IPR035919 (SUPERFAMILY)	P:GO:0007165; F:GO:0071111; C:GO:0016020	P:signal transduction; F:cyclic-guanylate-specific phosphodiesterase activity; C:membrane
true	[INTERPRO, BLASTED]	contig_1_RagTag_7	20	tryptophan synthase subunit beta	360	3.14E-71	95.12						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_8	20	retention module-containing protein	12105	0.0	77.28	3	P:GO:0007154; F:GO:0005509; C:GO:0016020	P:cell communication; F:calcium ion binding; C:membrane			PR00313 (PRINTS); IPR011049 (G3DSA:2.150.10.GENE3D); IPR001343 (PFAM); IPR047777 (NCBIFAM); IPR036465 (G3DSA:3.40.50.GENE3D); IPR046779 (PFAM); IPR002035 (PFAM); IPR019960 (NCBIFAM); IPR038081 (G3DSA:2.60.40.GENE3D); IPR002035 (PROSITE_PROFILES); cd00198 (CDD); IPR038081 (SUPERFAMILY); IPR036465 (SUPERFAMILY); IPR011049 (SUPERFAMILY); IPR038081 (SUPERFAMILY)	F:GO:0005509	F:calcium ion binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_9	20	type I secretion system permease/ATPase	2157	0.0	98.8	9	P:GO:0006508; P:GO:0006869; P:GO:0055085; F:GO:0005524; F:GO:0008233; F:GO:0016887; F:GO:0034040; F:GO:0140359; C:GO:0005886	P:proteolysis; P:lipid transport; P:transmembrane transport; F:ATP binding; F:peptidase activity; F:ATP hydrolysis activity; F:ATPase-coupled lipid transmembrane transporter activity; F:ABC-type transporter activity; C:plasma membrane	EC:3.6.1; EC:3.4; EC:3.6; EC:3; EC:7.2.2; EC:7; EC:3.6.1.15	Acting on acid anhydrides; Acting on peptide bonds (peptidases); Acting on acid anhydrides; Hydrolases; Catalysing the translocation of inorganic cations; Translocases; nucleoside-triphosphate phosphatase	G3DSA:3.40.50.300:FF:000299 (FUNFAM); IPR027417 (G3DSA:3.40.50.GENE3D); G3DSA:3.90.70.10 (GENE3D); IPR011527 (PFAM); IPR036640 (G3DSA:1.20.1560.GENE3D); IPR017750 (NCBIFAM); IPR003439 (PFAM); IPR039421 (PANTHER); IPR005074 (PROSITE_PROFILES); IPR011527 (PROSITE_PROFILES); IPR003439 (PROSITE_PROFILES); cd18587 (CDD); cd02421 (CDD); cd03245 (CDD); IPR036640 (SUPERFAMILY); IPR027417 (SUPERFAMILY)	P:GO:0006508; P:GO:0055085; F:GO:0005524; F:GO:0008233; F:GO:0016887; F:GO:0034040; F:GO:0042626; F:GO:0140359; C:GO:0016020	P:proteolysis; P:transmembrane transport; F:ATP binding; F:peptidase activity; F:ATP hydrolysis activity; F:ATPase-coupled lipid transmembrane transporter activity; F:ATPase-coupled transmembrane transporter activity; F:ABC-type transporter activity; C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_10	20	HlyD family type I secretion periplasmic adaptor subunit	1377	2.38E-305	96.88	3	P:GO:0009306; P:GO:0055085; C:GO:0005886	P:protein secretion; P:transmembrane transport; C:plasma membrane			PR01490 (PRINTS); IPR010129 (NCBIFAM); G3DSA:2.40.30.170 (GENE3D); IPR043602 (PFAM); PF13437 (PFAM); IPR050739 (PANTHER)	P:GO:0015031; P:GO:0055085; C:GO:0016020	P:protein transport; P:transmembrane transport; C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_11	20	cellulose biosynthesis protein BcsE	1503	0.0	92.9	1	F:GO:0035438	F:cyclic-di-GMP binding			IPR017745 (NCBIFAM); IPR017745 (PFAM)	F:GO:0035438	F:cyclic-di-GMP binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_12	20	cellulose biosynthesis protein BcsF	186	5.67E-33	82.2	1	C:GO:0016020	C:membrane			IPR019995 (PFAM); IPR019995 (NCBIFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_13	20	cellulose biosynthesis protein BcsG	1629	0.0	91.95	2	F:GO:0016740; C:GO:0005886	F:transferase activity; C:plasma membrane	EC:2	Transferases	IPR017744 (PFAM); IPR017744 (NCBIFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_1_RagTag_14	20	cellulose biosynthesis protein BcsR	219	1.16E-39	90.18						IPR024487 (PFAM); IPR024487 (NCBIFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_15	20	cellulose biosynthesis protein BcsQ	717	2.6E-170	86.62	5	P:GO:0051782; F:GO:0005524; F:GO:0016887; C:GO:0005829; C:GO:0009898	P:negative regulation of cell division; F:ATP binding; F:ATP hydrolysis activity; C:cytosol; C:cytoplasmic side of plasma membrane	EC:3.6.1; EC:3.6; EC:3; EC:3.6.1.15	Acting on acid anhydrides; Acting on acid anhydrides; Hydrolases; nucleoside-triphosphate phosphatase	IPR017746 (NCBIFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR017746 (PFAM); IPR027417 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_16	20	UDP-forming cellulose synthase catalytic subunit	1881	0.0	94.24	5	P:GO:0006011; P:GO:0090540; F:GO:0016760; F:GO:0035438; C:GO:0005886	P:UDP-alpha-D-glucose metabolic process; P:bacterial cellulose biosynthetic process; F:cellulose synthase (UDP-forming) activity; F:cyclic-di-GMP binding; C:plasma membrane	EC:2.4.1.12; EC:2.4; EC:2; EC:2.4.1	cellulose synthase (UDP-forming); Glycosyltransferases; Transferases; Glycosyltransferases	IPR003919 (PRINTS); G3DSA:3.90.550.10:FF:000061 (FUNFAM); IPR003919 (NCBIFAM); IPR029044 (G3DSA:3.90.550.GENE3D); IPR001173 (PFAM); IPR050321 (PANTHER); cd06421 (CDD); IPR029044 (SUPERFAMILY)	P:GO:0006011; F:GO:0016758; F:GO:0016759; F:GO:0035438; C:GO:0005886; C:GO:0016020	P:UDP-alpha-D-glucose metabolic process; F:hexosyltransferase activity; F:cellulose synthase activity; F:cyclic-di-GMP binding; C:plasma membrane; C:membrane
