"Sample" "Genome_Size_Mb" "Contigs" "N50_kb" "BUSCO" "ANI"
"1" "Chlorp2" 5.59 22 1213.2 98.4 84.9
"2" "Chlorp3" 5.46 23 1108.1 94.4 85.21
"3" "Chlorp5" 5.69 14 1204.8 100 84.97
"4" "Chlorp7" 5.66 14 1226 99.2 84.93
"5" "Chlorp8" 5.54 16 3206.3 96 95.82
"6" "Chlorp10" 5.67 17 1137.4 99.2 84.92
"7" "Chlorp11" 5.63 21 1214.5 96.8 85
"8" "Diaz11" 6.36 22 6307.3 91.1 91.47
"9" "Diaz21" 6.48 15 6435.7 94.4 91.55
"10" "Diaz23" 4.56 16 4534.8 96.8 95.47
"11" "Diaz26" 4.57 7 1241.3 98.4 82.16
"12" "Diaz28" 5.25 15 4697.1 94.4 96.63
"13" "Dimeth1" 3.76 4 3752.5 97.6 83.94
"14" "Dimeth2" 5.21 9 4830.8 100 96.86
"15" "Dimeth3" 5.62 38 4891.6 100 97.31
"16" "Dimeth4" 5.53 17 5267.3 100 89.82
"17" "Dimeth7" 4.99 9 3547.5 98.4 96.96
"18" "Dimeth8" 5.51 20 5194.3 99.2 89.82
"19" "Dimeth9" 5.51 28 5064.6 98.4 97.24
"20" "Mal1" 5.72 11 5704.6 100 99.32
"21" "Mal2" 6.66 8 3787.9 100 91.87
"22" "Mal3" 5.71 10 5699.1 100 99.35
"23" "Mal4" 5.69 11 5681 99.2 99.28
"24" "Mal5" 5.67 9 5654.6 96 99.32
"25" "Mal6" 5.46 14 5449.7 97.6 99.2
"26" "Mal7" 5.44 12 5389.5 96.8 99.25
"27" "Mal8" 5.45 13 5440.6 96.8 99.25
