	Tags	SeqName	#Hits	Description	Length	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_1	20	MULTISPECIES: NCS2 family permease	1371	1.21E-303	99.95	3	P:GO:1904823; F:GO:0005345; C:GO:0005886	P:purine nucleobase transmembrane transport; F:purine nucleobase transmembrane transporter activity; C:plasma membrane			IPR026033 (PIRSF); IPR006043 (PFAM); IPR045018 (PANTHER)	P:GO:0055085; F:GO:0005345; F:GO:0015205; F:GO:0022857; C:GO:0005886; C:GO:0016020	P:transmembrane transport; F:purine nucleobase transmembrane transporter activity; F:nucleobase transmembrane transporter activity; F:transmembrane transporter activity; C:plasma membrane; C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_2	20	GMP synthase	1530	0.0	99.93	6	P:GO:0006177; P:GO:0006541; P:GO:1901070; F:GO:0003921; F:GO:0005524; C:GO:0005829	P:GMP biosynthetic process; P:glutamine metabolic process; P:guanosine-containing compound biosynthetic process; F:GMP synthase activity; F:ATP binding; C:cytosol	EC:6.3.5.2; EC:6.3; EC:6; EC:6.3.5; EC:2.3.1.128	GMP synthase (glutamine-hydrolyzing); Forming carbon-nitrogen bonds; Ligases; Forming carbon-nitrogen bonds; Acyltransferases	PR00096 (PRINTS); PR00099 (PRINTS); PR00097 (PRINTS); G3DSA:3.40.50.880:FF:000001 (FUNFAM); G3DSA:3.30.300.10:FF:000002 (FUNFAM); G3DSA:3.40.50.620:FF:000001 (FUNFAM); IPR029062 (G3DSA:3.40.50.GENE3D); NF000848 (NCBIFAM); IPR001674 (PFAM); IPR014729 (G3DSA:3.40.50.GENE3D); IPR001674 (NCBIFAM); IPR022310 (PFAM); G3DSA:3.30.300.10 (GENE3D); IPR017926 (PFAM); IPR004739 (NCBIFAM); PIRSR000495-1 (PIRSR); PTHR11922 (PANTHER); PS51273 (PROSITE_PROFILES); IPR025777 (PROSITE_PROFILES); IPR022955 (HAMAP); IPR004739 (CDD); IPR001674 (CDD); SSF52402 (SUPERFAMILY); IPR029062 (SUPERFAMILY); SSF54810 (SUPERFAMILY)	P:GO:0006164; P:GO:0006177; F:GO:0003921; F:GO:0003922; F:GO:0005524; C:GO:0005829	P:purine nucleotide biosynthetic process; P:GMP biosynthetic process; F:GMP synthase activity; F:GMP synthase (glutamine-hydrolyzing) activity; F:ATP binding; C:cytosol
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_3	20	transglutaminaseTgpA domain-containing protein	2193	0.0	99.25	1	C:GO:0016020	C:membrane			IPR025403 (PFAM); IPR002931 (PFAM); G3DSA:3.10.620.30 (GENE3D); IPR021878 (PFAM); IPR052901 (PANTHER); IPR038765 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	contig_1_RagTag_4	20	DUF58 domain-containing protein	1191	1.41E-283	99.57						IPR002881 (PFAM); PTHR34351 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_5	20	MoxR family ATPase	951	3.52E-223	99.43	3	F:GO:0005524; F:GO:0016887; C:GO:0005618	F:ATP binding; F:ATP hydrolysis activity; C:cell wall	EC:3.6.1; EC:3.6; EC:3; EC:3.6.1.15	Acting on acid anhydrides; Acting on acid anhydrides; Hydrolases; nucleoside-triphosphate phosphatase	G3DSA:3.40.50.300:FF:000640 (FUNFAM); G3DSA:1.10.8.80 (GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); PIRSF002849 (PIRSF); IPR041628 (PFAM); IPR011703 (PFAM); IPR050764 (PANTHER); cd00009 (CDD); IPR027417 (SUPERFAMILY)	F:GO:0005524; F:GO:0016887	F:ATP binding; F:ATP hydrolysis activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_6	20	MULTISPECIES: chaperonin GroEL	1632	0.0	99.56	7	P:GO:0006458; P:GO:0042026; F:GO:0005524; F:GO:0016853; F:GO:0051082; F:GO:0140662; C:GO:1990220	P:'de novo' protein folding; P:protein refolding; F:ATP binding; F:isomerase activity; F:unfolded protein binding; F:ATP-dependent protein folding chaperone; C:GroEL-GroES complex	EC:5	Isomerases	IPR001844 (PRINTS); G3DSA:3.50.7.10:FF:000001 (FUNFAM); G3DSA:1.10.560.10:FF:000001 (FUNFAM); IPR027413 (G3DSA:1.10.560.GENE3D); NF000592 (NCBIFAM); NF009488 (NCBIFAM); NF009489 (NCBIFAM); IPR027409 (G3DSA:3.50.7.GENE3D); IPR027410 (G3DSA:3.30.260.GENE3D); NF009487 (NCBIFAM); IPR001844 (NCBIFAM); IPR002423 (PFAM); IPR001844 (PANTHER); IPR001844 (HAMAP); IPR001844 (CDD); IPR027413 (SUPERFAMILY); IPR027409 (SUPERFAMILY); IPR027410 (SUPERFAMILY)	P:GO:0042026; F:GO:0005524; F:GO:0140662	P:protein refolding; F:ATP binding; F:ATP-dependent protein folding chaperone
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_7	20	10 kDa chaperonin	285	1.82E-55	98.88	10	P:GO:0006986; P:GO:0042221; P:GO:0051084; F:GO:0005524; F:GO:0042802; F:GO:0044183; F:GO:0046872; F:GO:0051082; F:GO:0051087; C:GO:0005737	P:response to unfolded protein; P:response to chemical; P:'de novo' post-translational protein folding; F:ATP binding; F:identical protein binding; F:protein folding chaperone; F:metal ion binding; F:unfolded protein binding; F:protein-folding chaperone binding; C:cytoplasm			IPR020818 (PRINTS); G3DSA:2.30.33.40:FF:000001 (FUNFAM); IPR037124 (G3DSA:2.30.33.GENE3D); NF001527 (NCBIFAM); NF001531 (NCBIFAM); IPR020818 (PFAM); NF001534 (NCBIFAM); NF001533 (NCBIFAM); NF001530 (NCBIFAM); NF001532 (NCBIFAM); IPR020818 (PANTHER); IPR020818 (HAMAP); IPR020818 (CDD); IPR011032 (SUPERFAMILY)	P:GO:0006457; P:GO:0051085; F:GO:0005524; F:GO:0044183; F:GO:0046872; F:GO:0051082; F:GO:0051087	P:protein folding; P:obsolete chaperone cofactor-dependent protein refolding; F:ATP binding; F:protein folding chaperone; F:metal ion binding; F:unfolded protein binding; F:protein-folding chaperone binding
true	[INTERPRO, BLASTED]	contig_1_RagTag_8	20	CPBP family intramembrane metalloprotease	729	2.64E-156	99.77						IPR003675 (PFAM); IPR052710 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_9	20	YdiK family protein	228	3.22E-45	91.36	1	C:GO:0016020	C:membrane			IPR025426 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	contig_1_RagTag_10	20	MULTISPECIES: twin-arginine translocase subunit TatC	756	2.65E-165	99.82	8	P:GO:0015833; P:GO:0043953; P:GO:0065002; P:GO:0071705; F:GO:0009977; F:GO:0015450; F:GO:1904680; C:GO:0033281	P:peptide transport; P:protein transport by the Tat complex; P:intracellular protein transmembrane transport; P:nitrogen compound transport; F:proton motive force dependent protein transmembrane transporter activity; F:protein-transporting ATPase activity; F:peptide transmembrane transporter activity; C:TAT protein transport complex	EC:7; EC:7.2.2	Translocases; Catalysing the translocation of inorganic cations	IPR002033 (PRINTS); IPR002033 (NCBIFAM); IPR002033 (PFAM); IPR002033 (PANTHER); IPR002033 (HAMAP)	P:GO:0043953; P:GO:0065002; F:GO:0009977; C:GO:0016020; C:GO:0033281	P:protein transport by the Tat complex; P:intracellular protein transmembrane transport; F:proton motive force dependent protein transmembrane transporter activity; C:membrane; C:TAT protein transport complex
